year,acc_code,km,province,vehicle_main,assumed_cause,accident_type,weather,latitude,longitude,total_vehicles,motorcycle,tricycle,private_car,van,pickup_passenger,bus,pickup_truck,truck_6w,truck_10w,truck_big,e_tan,other_vehicle,pedestrian,fatalities,serious_injured,minor_injured,total_injured,total_impact,month,accident_day,day_of_week,is_festival,is_risky_month
2022,6566874,3.55,58,2,9,116,3,14.754413,99.827283,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566851,5.9,43,2,9,116,5,13.339197,99.776201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5483039,17.1,6,7,9,30,5,16.5067057,102.8041389,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5955804,184.225,19,13,9,30,5,15.17349286,102.3359647,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0
2022,7590278,316.09,67,7,57,30,5,17.57684976,100.1468664,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6288915,45.0,63,9,9,4,5,17.22754554,102.4072525,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5500585,108.6,31,2,9,4,2,19.48012119,100.3308365,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,1,1,5,0,0
2022,6566824,1.5,54,2,70,116,5,13.508206,100.069372,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5483154,4.55,1,9,9,31,5,8.084875087,98.88633816,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5485786,22.9,52,5,62,30,5,13.69683927,100.8266428,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5485787,13.7,20,2,70,0,5,8.361381286,99.79232667,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,1,1,5,0,0
2022,5975408,163.475,50,7,9,31,5,7.162718316,100.5526015,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5919746,140.876,25,7,9,30,5,18.33477188,103.6944634,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5920152,3.56,37,7,9,30,5,16.1948112,103.263073,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,6566863,2.0,33,2,49,116,5,7.754508,100.045594,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6337190,59.0,9,7,9,30,5,13.15839301,101.1771539,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6003952,1.902,72,9,9,30,5,18.75877495,99.00994508,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566878,8.68,67,9,70,116,5,17.523208,100.091357,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6566830,7.71,22,0,15,116,5,13.948447,100.350952,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,5,0,0
2022,5479660,6.74,58,7,57,30,5,14.2147087,100.0094595,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5889277,174.45,74,7,9,30,5,16.06362981,101.0719871,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,6239818,63.5,20,9,57,30,5,8.398719689,99.31576251,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6566840,6.33,64,2,57,116,5,14.269574,100.423798,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5974922,17.5,56,2,9,30,5,13.59131967,102.4422285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566871,6.6,3,1,83,116,5,14.148289,99.617604,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,5,0,0
2022,7330793,162.35,40,7,9,30,5,15.91011783,104.0631008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,7602545,44.26,66,2,9,4,5,17.76491748,102.1515816,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6243220,7.1,22,2,9,30,5,13.85997375,100.5149326,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5758760,11.1,10,2,57,30,5,15.29861421,100.2007466,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6549990,17.9,66,9,57,30,5,17.43289326,102.8045252,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,7602477,6.1,6,7,9,30,5,16.54322377,102.4096544,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5486848,20.05,3,7,57,30,5,13.8248989,99.63559716,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5489248,7.5,30,9,9,30,5,6.797905414,101.2197125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5920282,174.88,73,7,57,30,5,12.92115487,99.90660219,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6319547,11.5,2,9,9,30,5,13.66294667,100.6428444,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5482885,25.35,69,6,9,30,5,14.48103884,104.9352398,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6242422,18.0,22,2,9,4,5,13.93380946,100.534907,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,1,5,0,0
2022,5777062,111.56,58,9,15,4,5,14.80272478,100.1127434,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,7602431,0.29,72,2,9,23,5,18.92128754,98.93818258,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,6319699,34.1,52,9,15,4,5,13.53483017,100.6273332,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5920313,174.8,73,7,57,17,5,12.92027386,99.90676312,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5486827,7.1,57,2,9,30,5,14.83334818,100.3671589,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,7359033,149.5,50,7,9,17,0,7.264000544,100.5224562,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5487056,23.0,19,7,9,4,5,14.5112814,101.3759673,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566892,38.8,2,7,91,4,5,13.86204141,100.6769916,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,7330764,32.6,70,2,9,30,5,14.60513526,100.4154387,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566868,0.35,10,2,77,116,5,14.95715,100.165548,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5485859,169.224,72,2,71,4,5,20.02330971,99.27797823,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5486897,14.25,58,7,9,4,5,14.55630518,99.99376325,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5920593,10.25,62,2,15,40,5,17.74259907,102.6826617,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,5,0,0
2022,6566774,24.425,24,2,57,101,5,18.623776,100.828178,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5836890,0.1,64,9,9,4,5,14.18364074,100.6122404,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5837425,8.339,2,9,9,4,5,13.78419993,100.395593,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6566887,4.055,28,2,70,116,5,11.224557,99.553468,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566835,4.14,23,11,9,116,5,6.351649,101.848595,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,7602585,24.025,68,2,9,4,5,15.42817529,99.61658029,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6532928,5.5,21,7,71,2,5,15.70888149,100.1650759,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5482444,2.25,31,9,9,24,5,19.45342127,100.3134048,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5480695,26.9,20,2,9,4,5,8.350700003,99.6874523,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5992373,22.63,50,7,29,4,0,7.142532082,100.2826345,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5626769,209.65,60,7,9,30,5,14.75821589,103.4290641,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5969798,67.8,19,2,9,4,5,14.98912056,102.6536214,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,5,0,0
2022,5777067,58.3,58,9,15,4,5,14.80164601,99.72035228,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566772,2.1,10,2,69,116,5,15.271363,100.019695,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566822,4.14,54,2,70,116,5,13.599756,100.142279,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566823,19.95,68,2,6,116,5,15.185643,99.53272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5956058,28.47,20,2,9,4,5,8.322725598,99.9478197,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5485757,103.7,9,9,9,4,5,13.08503265,100.9917408,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5482447,59.1,31,9,71,24,5,18.94681566,100.2577329,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5482503,228.55,77,9,9,4,5,18.14429444,97.94003873,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5836853,76.6,64,7,57,30,5,14.27860718,100.8100802,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566838,6.0,43,2,9,116,5,13.875908,99.905156,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,7602934,17.95,66,7,9,4,5,17.43280625,102.8049221,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5489214,22.95,30,2,15,4,5,6.754014027,101.4730203,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,6566768,6.9,1,9,9,116,5,8.164722,98.939351,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,5,0,0
2022,6566909,16.1,77,7,22,116,5,19.483494,97.961649,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,7330770,112.8,35,9,9,4,5,16.70712698,100.171473,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,7330781,100.3,68,2,9,30,5,15.09756558,99.61676268,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566888,24.5,40,9,57,116,5,16.075762,104.424205,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566806,0.38,54,2,9,116,5,13.59419,100.366557,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5485758,92.6,9,9,9,4,5,13.18373648,100.9963971,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5489308,63.5,50,9,91,4,5,6.869256644,100.9585458,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6566787,32.515,66,1,9,116,5,17.642745,103.143373,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,5,0,0
2022,6566836,16.5,10,9,70,116,5,15.067403,100.274086,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5487323,3.2,17,2,71,4,5,13.74187589,100.2682552,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5920603,12.0,73,7,9,4,5,12.7083555,99.91301535,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5493885,69.5,10,2,70,30,5,15.14882886,100.2413177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5998165,306.9,6,9,9,30,5,16.17469594,102.7557224,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5868152,60.99,9,7,9,4,5,13.05926096,101.4245957,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5920613,17.8,73,7,9,4,5,12.66804772,99.87860797,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5485536,32.975,37,7,9,30,5,15.89133847,103.3413505,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5481155,309.35,7,9,9,30,5,12.69719064,101.9888788,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5507377,5.7,21,7,57,31,5,15.70784867,99.74120377,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5783233,25.551,68,2,9,40,5,15.61498511,99.79061543,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,7602342,41.2,72,7,15,24,5,19.11141376,99.02334003,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566876,3.95,9,2,70,116,5,13.141511,101.296819,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5485761,107.4,9,9,9,4,5,13.05186651,100.9960833,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5486853,113.9,3,9,9,4,5,14.19979672,99.10789935,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5481487,69.65,42,2,9,4,5,13.01045877,101.4781809,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485763,71.1,31,2,9,4,5,19.51562744,100.2887204,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485808,12.425,67,2,9,30,5,17.66819536,100.1854581,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566791,1.3,41,2,57,116,5,10.401215,98.785374,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5481438,3.412,45,9,15,24,5,14.80882387,100.66394,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6243237,193.431,29,9,9,4,5,14.00739775,101.7062062,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485826,0.9,36,2,9,30,5,7.903981255,98.30511688,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5955794,223.4,19,2,9,4,5,15.05118545,102.1288687,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5615366,41.95,27,4,9,4,5,14.07853515,100.6178811,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5874404,24.05,7,11,9,24,5,12.80251113,102.2627941,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5485836,19.9,59,2,9,4,5,9.059210716,99.03501032,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5969830,266.05,19,2,15,4,5,14.6787168,102.0163205,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5482906,31.65,66,7,57,30,5,17.50156162,102.37461,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566866,12.65,64,2,83,116,5,14.522682,100.681795,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485568,20.8,48,2,9,30,5,14.9257133,104.4014776,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5485668,105.15,49,2,15,24,5,17.39402542,103.701024,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5744204,256.26,21,2,15,24,5,15.26395631,100.3379845,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,6566817,4.4,8,2,83,116,5,13.738217,101.121412,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,6566911,38.3,46,2,70,116,5,18.085247,99.491816,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5489334,102.1,19,2,70,24,5,14.44551168,102.5473496,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,5,0,0
2022,5493660,180.95,3,9,71,2,5,14.62771008,98.72038184,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6566826,19.6,62,2,9,116,5,18.159083,103.315644,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5485841,8.4,34,2,9,4,5,16.43207702,100.3279289,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5920211,13.18,44,9,9,30,5,16.07546783,103.7041944,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,6566821,21.95,49,2,9,116,5,17.187713,104.318933,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5926421,17.3,72,9,9,4,5,18.9221426,98.94089429,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5975299,13.45,59,9,9,31,5,8.767768263,99.06560628,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5485782,270.75,35,2,15,4,5,16.85127973,100.5890044,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5758315,119.1,3,7,9,4,5,14.225764,99.06838773,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0
2022,5920700,23.1,73,9,9,30,5,12.62554023,99.8581454,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5969799,53.7,19,9,15,24,5,14.56342361,102.1966025,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,5975607,72.9,39,7,83,4,0,6.267762787,101.2790027,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,5,0,0
2022,6566841,1.0,43,2,9,116,5,13.482756,99.405655,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566861,8.4,10,2,70,116,5,15.222933,99.819524,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5482946,8.7,66,2,9,0,5,17.34967575,102.6781985,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,1,1,5,0,0
2022,5752239,104.5,55,2,9,4,5,14.50299536,100.9178352,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,1,1,5,0,0
2022,6243286,13.9,2,9,9,4,5,13.7318187,100.7669771,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,6566819,7.2,72,2,9,116,5,19.919886,99.138785,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
2022,5482770,28.38,20,2,9,4,5,8.350017983,99.67426925,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,0
